food,Carbohydrates,Fat,Protein
yellowtail cooked,0.0,19.6,86.6
yellowfin tuna cooked,0.0,0.2,8.2
ling cooked,0.0,1.2,36.8
eel cooked,0.0,4.2,6.7
sablefish raw,0.0,59.1,51.8
salmon nuggets,4.0,3.3,3.6
yellowtail raw,0.0,19.6,86.5
butterfish cooked,0.0,2.6,5.5
caviar,0.6,2.9,3.9
pollock raw,0.0,3.8,75.0
catfish cooked,0.0,10.3,26.4
whiting raw,0.0,1.2,16.8
pink salmon raw,0.0,14.0,65.2
yellowfin tuna raw,0.0,0.1,6.9
mackerel raw,0.0,15.6,20.8
turbot raw,0.0,12.0,65.5
cusk cooked,0.0,0.8,23.1
atlantic croaker raw,0.0,2.5,14.0
sucker cooked,0.0,3.7,26.6
spot raw,0.0,3.1,11.8
drum cooked,0.0,9.7,34.6
crayfish raw,0.0,0.048,0.6
tilefish cooked,0.0,14.1,73.5
bluefish cooked,0.0,6.4,30.1
grouper cooked,0.0,2.6,50.2
sheepshead raw,0.0,5.7,48.1
herring kippered,0.0,4.9,9.8
grouper raw,0.0,2.6,50.2
ocean perch cooked,0.0,0.9,9.3
ling raw,0.0,1.2,36.7
lingcod cooked,0.0,4.1,68.4
florida pompano raw,0.0,10.6,20.7
rockfish cooked,0.0,2.4,33.1
seatrout cooked,0.0,8.6,39.9
sockeye salmon raw,0.0,22.2,84.4
swordfish cooked,0.0,8.4,24.9
american shad raw,0.0,25.3,31.2
sardine canned in oil,0.0,17.1,36.7
anchovy canned in oil,0.0,0.4,1.2
salmon canned,0.0,20.3,79.1
sardines in tomato sauce canned,0.5,9.3,18.6
sockeye salmon canned,0.0,24.9,79.5
tuna canned,0.0,2.4,18.9
pink salmon canned,0.0,20.4,80.9
cod canned,0.0,2.7,71.0
eastern oyster canned,6.3,4.0,11.4
chum salmon canned,0.0,20.3,79.1
tuna canned in oil,0.0,14.4,47.2
wild pink salmon oceans,0.0,16.0,0.0
shrimp canned,0.0,1.7,26.1
alaska king crab raw,0.0,1.0,31.5
scallops fried,6.4,3.2,2.6
shrimp cooked,0.013,0.092,1.3
clams fried,1.0,1.0,1.3
alaska king crab cooked,0.0,2.1,25.9
scallops cooked,0.5,0.058,2.1
squid fried,6.2,6.0,14.4
oyster raw,2.5,1.2,4.7
abalone,5.1,0.6,14.5
queen crab raw,0.0,0.3,5.2
whelk cooked,4.4,0.2,13.5
oyster cooked,2.5,1.2,4.7
eastern oyster cooked,0.7,0.2,0.7
blue mussels cooked,14.8,9.0,47.6
octopus raw,0.6,0.3,4.2
spiny lobster cooked,5.1,3.2,43.0
blue mussels raw,5.5,3.4,17.9
queen crab cooked,0.0,1.3,20.2
dungeness crab cooked,1.2,1.6,28.3
dungeness crab raw,1.2,1.6,28.4
shrimp fried,4.8,3.2,1.3
shrimp raw,0.041,0.023,0.7
blue crab cooked,0.0,0.6,15.2
shrimp imitation,2.6,0.4,3.5
conch baked,2.2,1.5,33.4
squid raw,0.9,0.4,4.4
scallop raw,0.5,0.091,1.8
lobster raw,0.0,1.1,24.8
scallop imitation,3.0,0.1,3.6
blue crab raw,0.018,0.2,3.8
whelk raw,2.2,0.1,6.7
spiny lobster raw,5.1,3.2,43.1
clams canned,9.4,2.5,38.8
lobster cooked,0.0,1.3,28.5
eastern oyster fried,1.7,1.8,1.3
clams raw,8.1,2.2,33.3
octopus cooked,3.7,1.8,25.3
eastern oyster raw,0.8,0.2,0.7
oyster fried,6.7,3.0,2.1
sturgeon smoked,0.0,1.2,8.8
chinook salmon smoked,0.0,5.9,24.9
cisco smoked,0.0,3.4,4.6
haddock smoked,0.0,0.3,7.1
whitefish smoked,0.0,1.3,31.8
red salmon sockeye filets smoked,0.0,12.3,65.5
eggnog,20.4,10.6,11.6
beer light,5.4,0.0,0.8
beer budweiser,0.9,0.0,0.1
weizenbier erdinger,0.0,18.0,0.0
beer light budweiser,0.4,0.0,0.066
beer,11.7,0.0,1.5
root beer,52.3,0.0,0.0
whiskey sour mix,6.3,0.072,0.051
whiskey sour,13.9,0.0,0.0
tequila sunrise,23.8,0.2,0.6
daiquiri,4.2,0.036,0.035
pina colada,32.0,2.7,0.6
whiskey,0.1,0.0,0.0
rum,0.0,0.0,0.0
vodka smirnoff,2.0,0.4,0.0
coffee liqueur,13.8,0.038,0.041
gin,0.0,0.0,0.0
dessert wine sweet,14.1,0.0,0.2
chenin blanc white wine,4.9,0.0,0.1
gamay red wine,3.5,0.0,0.1
late harvest white wine,20.6,0.0,0.1
gewurztraminer white wine,3.8,0.0,0.1
burgundy red wine,7.4,0.0,0.1
zinfandel red wine,4.2,0.0,0.1
muller thurgau white wine,5.2,0.0,0.1
mouvedre red wine,3.9,0.0,0.1
table wine,4.0,0.0,0.1
wine light,1.7,0.0,0.1
white wine,3.8,0.0,0.1
petite sirah red wine,3.9,0.0,0.1
non alcoholic wine,0.3,0.0,0.1
pinot noir red wine,3.4,0.0,0.1
pinot gris grigio white wine,3.0,0.0,0.1
riesling white wine,5.5,0.0,0.1
barbera red wine,5.6,0.0,0.1
lemberger red wine,3.6,0.0,0.1
merlot red wine,3.7,0.0,0.1
sangiovese red wine,3.9,0.0,0.1
sauvignon blanc white wine,3.0,0.0,0.1
syrah red wine,3.8,0.0,0.1
carignane red wine,12.0,0.0,0.4
pinot blanc white wine,2.9,0.0,0.1
semillon white wine,4.6,0.0,0.1
dessert wine dry,58.4,0.0,1.0
red wine,3.8,0.0,0.1
cabernet sauvignon red wine,5.2,0.0,0.1
muscat white wine,7.8,0.0,0.1
cooking wine,0.3,0.0,0.028
chardonnay white wine,4.3,0.0,0.1
claret red wine,4.4,0.0,0.1
rice sake,7.4,0.0,0.7
fume blanc white wine,3.3,0.0,0.1
cabarnet franc red wine,3.6,0.0,0.1
chocolate frosting,13.0,3.6,0.2
white sugar,5.0,0.0,0.0
egg substitute,4.8,0.0,24.0
agave syrup,5.3,0.081,0.025
splenda sweetener,91.2,0.0,0.0
vanilla extract,0.5,0.069,0.0
egg yolk dried,0.054,2.3,1.3
granulated sugar,4.2,0.0,0.0
baking chocolate,8.7,15.2,3.7
bakers yeast,3.1,0.3,1.4
fondant,26.4,0.009,0.0
brown sugar,4.1,0.0,0.024
white frosting dry,196.4,0.0,4.8
maple sugar,10.9,0.061,0.036
fructose sweetener,4.2,0.0,0.0
saccharin sweetener,89.1,0.0,0.9
egg white raw,0.2,0.063,3.6
turbinado sugar,4.6,0.0,0.0
vanilla frosting,313.7,75.0,0.0
aspartame sweetener,89.1,0.0,2.2
egg raw,0.4,5.3,7.0
pineapple topping,225.8,0.3,0.3
egg white dried,0.3,0.087,5.8
egg yolk raw,0.6,4.5,2.7
baking soda,0.0,0.0,0.0
egg dried,0.047,2.2,2.4
strawberry topping,13.9,0.096,0.014
bakers yeast dry,1.6,0.3,1.6
almond paste,108.5,63.0,20.4
cream of tartar,1.8,0.0,0.0
popover dry mix,120.7,7.3,17.7
egg substitute powder,6.2,3.7,15.7
gelatin powder,0.0,0.086,4.3
tapioca pearls,134.8,0.093,0.3
baking powder,1.3,0.0,0.0
egg boiled,0.7,6.4,7.5
millet flour,86.9,5.1,12.8
triticale flour,95.1,2.4,17.1
corn flour white,87.3,4.2,9.6
rice flour brown,120.8,4.4,11.4
sorghum flour,93.7,4.0,9.5
cornmeal whole grain,93.8,4.4,9.9
cornmeal white,124.7,2.7,11.2
